date,duration
1998-04-12,2.75
1998-04-26,0.5833333333333334
1998-04-26,6.166666666666667
1998-04-27,1.75
1998-05-02,1.5
1998-05-02,2.1666666666666665
1998-05-15,4.5
1998-05-24,4.5
1998-05-24,3.0
1998-06-04,3.25
1998-06-04,3.25
1998-06-09,1.9166666666666665
1998-06-09,1.9166666666666665
1998-06-09,3.25
1998-06-09,11.166666666666666
1998-06-10,7.5
1998-06-11,2.9166666666666665
1998-06-23,5.0
1998-07-02,2.3333333333333335
1998-07-03,5.0
1998-07-04,3.25
1998-07-04,3.0833333333333335
1998-07-13,2.3333333333333335
1998-08-07,2.8333333333333335
1998-08-28,2.1666666666666665
1998-08-30,8.416666666666666
1998-09-01,1.75
1998-09-06,2.0
1999-04-12,6.75
1999-05-19,9.083333333333334
1999-06-07,7.25
1999-06-17,1.8333333333333335
1999-06-20,2.5
1999-06-21,1.6666666666666665
1999-07-08,1.25
1999-07-09,2.4166666666666665
1999-08-04,2.0833333333333335
1999-08-05,3.0833333333333335
1999-08-10,2.0
1999-08-11,1.8333333333333335
1999-08-22,15.5
1999-08-23,0.8
1999-08-23,5.783333333333333
1999-08-23,7.0
1999-08-24,0.9166666666666666
1999-08-24,1.5833333333333335
1999-08-24,5.416666666666667
1999-08-24,2.0
1999-08-25,0.5833333333333334
1999-08-25,1.6666666666666665
1999-08-25,10.25
1999-09-16,0.6166666666666667
1999-09-16,13.216666666666667
1999-09-26,3.4166666666666665
1999-10-16,2.0833333333333335
2000-04-02,1.75
2000-04-03,5.833333333333333
2000-04-03,1.6666666666666665
2000-04-03,2.4166666666666665
2000-04-14,2.5833333333333335
2000-04-14,5.333333333333333
2000-04-14,3.1666666666666665
2000-04-14,2.25
2000-04-22,1.5
2000-04-23,0.6666666666666666
2000-04-23,4.083333333333333
2000-04-23,4.333333333333333
2000-04-26,3.5833333333333335
2000-04-28,5.583333333333333
2000-05-02,5.833333333333333
2000-05-02,1.75
2000-05-10,2.8666666666666667
2000-05-25,2.6666666666666665
2000-06-12,2.5
2000-06-12,0.8333333333333334
2000-06-12,2.5
2000-06-12,0.75
2000-06-18,4.833333333333333
2000-06-20,2.5833333333333335
2000-07-18,8.75
2000-07-19,1.0833333333333333
2000-08-01,1.3333333333333333
2000-08-02,4.333333333333333
2000-08-03,2.8333333333333335
2000-08-03,2.25
2000-08-04,3.6666666666666665
2000-08-04,1.3333333333333333
2000-08-06,2.25
2000-08-24,1.1833333333333333
2000-08-24,1.4833333333333334
2000-08-24,2.8333333333333335
2000-08-24,4.666666666666667
2000-08-26,2.6666666666666665
2000-08-27,3.75
2000-09-02,5.333333333333333
2001-03-25,1.8333333333333335
2001-04-09,1.5
2001-05-09,1.9166666666666665
2001-05-18,5.416666666666667
2001-05-21,3.4166666666666665
2001-05-30,3.4166666666666665
2001-06-05,17.416666666666668
2001-06-07,17.083333333333332
2001-06-08,3.9166666666666665
2001-06-08,5.916666666666667
2001-06-08,2.25
2001-06-09,5.25
2001-06-09,4.0
2001-06-09,2.0
2001-06-10,5.166666666666667
2001-06-11,3.25
2001-06-11,2.9166666666666665
2001-06-11,1.75
2001-06-12,2.0
2001-06-12,1.6666666666666665
2001-06-12,8.75
2001-06-13,4.916666666666667
2001-06-23,9.916666666666666
2001-06-25,4.916666666666667
2001-06-26,3.25
2001-06-27,5.833333333333333
2001-06-27,5.333333333333333
2001-06-27,2.1666666666666665
2001-07-06,12.0
2001-07-13,2.75
2001-07-15,5.25
2001-07-17,4.333333333333333
2001-07-18,2.5833333333333335
2001-07-21,3.1666666666666665
2001-08-01,1.5
2001-08-02,1.0
2001-08-02,2.0
2001-08-12,1.5833333333333335
2001-08-27,1.8333333333333335
2001-08-30,4.416666666666667
2001-09-01,4.666666666666667
2001-09-01,4.583333333333333
2001-09-01,0.6666666666666666
2001-09-01,4.5
2001-09-03,7.583333333333333
2001-09-03,2.0
2001-09-03,2.4166666666666665
2001-09-05,6.0
2001-09-07,0.5833333333333334
2001-09-07,4.75
2002-03-23,5.5
2002-05-10,1.0
2002-05-11,1.6666666666666665
2002-05-20,3.5
2002-05-22,3.5
2002-06-11,5.833333333333333
2002-07-17,2.1666666666666665
2002-07-17,1.75
2002-07-29,1.0
2002-08-06,5.416666666666667
2002-08-09,3.9166666666666665
2002-08-09,3.3333333333333335
2002-08-10,2.25
2002-08-10,2.0
2002-09-14,6.333333333333333
2002-09-15,2.75
2002-09-15,3.6666666666666665
2002-09-16,5.0
2002-09-17,2.9166666666666665
2002-10-18,0.6333333333333333
2002-10-18,2.75
2002-10-21,2.8333333333333335
2003-04-08,3.8333333333333335
2003-05-04,1.4166666666666667
2003-05-05,3.0
2003-05-05,9.416666666666666
2003-05-05,1.1666666666666667
2003-05-05,1.1666666666666667
2003-05-18,1.25
2003-06-09,7.416666666666667
2003-06-10,1.9166666666666665
2003-06-10,1.75
2003-06-10,14.833333333333334
2003-06-13,2.0
2003-06-14,1.75
2003-08-04,3.75
2003-08-17,3.5833333333333335
2003-08-22,2.0
2003-08-24,1.1666666666666667
2003-09-02,7.916666666666667
2004-03-30,1.6666666666666665
2004-04-14,3.8333333333333335
2004-04-17,1.6666666666666665
2004-04-27,1.25
2004-05-08,2.5
2004-05-08,0.6666666666666666
2004-05-08,0.6666666666666666
2004-05-08,2.25
2004-05-08,0.75
2004-05-14,1.5833333333333335
2004-07-16,1.8333333333333335
2004-07-17,1.1666666666666667
2004-07-21,0.6666666666666666
2004-07-29,8.083333333333334
2004-08-06,3.9166666666666665
2004-08-14,0.7333333333333333
